_rxn_organic-inchikey,WienerPolarity,BondCount,frNH0,Refractivity,LargestRingSize,frArN,HeteroaliphaticRingCount,frQuatN,AromaticAtomCount,AtomCountC,frAmidine,CyclomaticNumber,LengthPerpendicularToTheMinArea,frGuanido,donorcount,frNH2,minimalprojectionsize,AtomCountN,ChiralCenterCount,WienerIndex,AvgPol,donsitecount,Hacceptorcount,ASA-,frAr NH,HeteroaromaticRingCount,Accsitecount,acceptorcount,ASA,CarboaromaticRingCount,BalabanIndex,SmallestRingSize,RingAtomCount,PolarSurfaceArea,MinimalProjectionArea,MaximalProjectionArea,CarboRingCount,CarboaliphaticRingCount,VanderWaalsSurfaceArea,ASAH,ASA+,frPiperdine,AliphaticAtomCount,AliphaticRingCount,AromaticRingCount,LengthPerpendicularToTheMaxArea,HyperWienerIndex,MolPol,frImine,frDihydropyridine,frPiperzine,RotatableBondCount,maximalprojectionsize,ChainAtomCount,MinimalProjectionRadius,VanderWaalsVolume,ASAP,frNH1,MaximalProjectionRadius,Hdonorcount,frPyridine
BAMDIFIROXTEEM-UHFFFAOYSA-N,3,19,0,50.25,0,0,0,2,0,4,0,0,9.08,0,2,0,9.08,2,0,32,11.57,4,0,46.05,0,0,0,0,275.35,0,2.63,0,0,32.08,22.95,39.14,0,0,202.37,218.87,229.29,0,6,0,0,5.31,58,11.03,0,0,0,2,5.31,6,3.13,109.27,56.48,1,4.55,2,0
BJDYCCHRZIFCGN-UHFFFAOYSA-N,3,12,0,25.16,6,0,0,0,6,5,0,1,7.22,0,1,0,7.22,1,0,27,8.66,1,0,17.39,1,1,0,0,239.88,0,2.0,6,6,14.14,19.09,33.64,0,0,132.81,185.06,222.49,0,0,0,1,3.4,42,9.68,0,0,0,0,3.4,0,3.39,80.02,54.82,1,3.62,1,1
CALQKRVFTWDYDG-UHFFFAOYSA-N,2,16,0,35.09,0,0,0,1,0,4,0,0,9.15,0,1,0,9.15,1,0,20,10.0,3,0,70.99,0,0,0,0,273.98,0,2.19,0,0,27.64,18.77,34.38,0,0,173.44,225.09,202.99,0,5,0,0,5.42,35,9.57,0,0,0,2,5.42,5,2.69,93.45,48.89,0,4.57,1,0
CQWGDVVCKBJLNX-UHFFFAOYSA-N,3,19,0,39.35,0,0,0,1,0,5,0,0,7.87,0,1,0,7.87,1,0,28,11.59,3,0,59.57,0,0,0,0,254.69,0,3.17,0,0,27.64,27.08,34.29,0,0,207.49,217.8,195.11,0,6,0,0,6.2,44,11.42,0,0,0,1,6.2,6,3.38,110.9,36.88,0,3.96,1,0
DMFMZFFIQRMJQZ-UHFFFAOYSA-N,0,15,0,33.65,5,0,1,1,0,4,0,1,6.42,0,1,1,6.42,1,0,15,8.95,2,0,32.61,0,0,0,0,219.25,0,1.67,5,5,16.61,22.96,28.06,0,0,149.68,193.54,186.64,0,5,1,0,6.13,20,8.83,0,0,0,0,6.13,0,3.23,82.42,25.71,0,3.17,1,0
FCTHQYIDLRRROX-UHFFFAOYSA-N,2,16,0,34.96,0,0,0,1,0,4,0,0,7.79,0,1,0,7.79,1,0,18,9.83,3,0,58.23,0,0,0,0,248.05,0,2.54,0,0,27.64,22.47,34.13,0,0,172.19,205.51,189.82,0,5,0,0,5.27,28,9.57,0,0,0,1,5.27,5,3.12,93.65,42.54,0,3.96,1,0
FJFIJIDZQADKEE-UHFFFAOYSA-N,7,15,0,41.21,6,0,0,1,6,6,0,1,8.57,0,1,0,8.57,1,0,62,10.83,3,0,32.62,0,0,0,0,256.13,1,2.19,6,6,27.64,20.46,40.17,1,0,163.01,171.72,223.51,0,2,0,1,3.97,115,11.42,0,0,0,0,3.97,2,3.35,101.09,84.41,0,4.29,1,0
GGYGJCFIYJVWIP-UHFFFAOYSA-N,0,10,0,27.86,0,0,0,0,0,2,1,0,6.02,0,2,2,6.02,2,0,9,6.58,4,1,39.44,0,0,1,1,212.36,0,2.32,0,0,51.61,17.01,26.37,0,0,110.9,139.66,172.93,0,4,0,0,4.26,12,6.57,0,0,0,0,4.26,4,3.14,62.84,72.7,0,3.23,2,0
GIAPQOZCVIEHNY-UHFFFAOYSA-N,1,13,0,30.48,0,0,0,1,0,3,0,0,7.6,0,1,0,7.6,1,0,10,8.03,3,0,65.57,0,0,0,0,243.38,0,1.97,0,0,27.64,18.32,28.68,0,0,142.9,193.89,177.81,0,4,0,0,5.19,15,7.73,0,0,0,1,5.19,4,2.71,76.51,49.49,0,3.94,1,0
HBPSMMXRESDUSG-UHFFFAOYSA-N,3,18,0,38.25,6,0,1,1,0,5,0,1,7.07,0,1,1,7.07,1,0,27,10.82,2,0,55.57,0,0,0,0,228.15,0,2.0,6,6,16.61,26.88,34.63,0,0,178.29,205.89,172.57,1,6,1,0,5.27,42,10.68,0,0,0,0,5.27,0,3.59,99.74,22.25,0,3.68,1,0
HBZSVMFYMAOGRS-UHFFFAOYSA-N,6,28,0,53.49,0,0,0,1,0,8,0,0,14.18,0,1,0,14.18,1,0,120,18.22,3,0,96.87,0,0,0,0,394.28,0,2.6,0,0,27.64,24.43,57.88,0,0,295.58,351.81,297.41,0,9,0,0,5.48,330,16.96,0,0,0,6,5.48,9,3.21,161.41,42.47,0,7.17,1,0
IWNWLPUNKAYUAW-UHFFFAOYSA-N,1,13,0,40.45,0,0,0,2,0,2,0,0,7.75,0,2,0,7.75,2,0,10,7.76,6,0,17.63,0,0,0,0,209.1,0,1.97,0,0,55.28,17.79,28.03,0,0,131.32,111.65,191.47,0,4,0,0,5.1,15,7.34,0,0,0,1,5.1,4,2.69,73.86,97.45,0,3.88,2,0
JBOIAZWJIACNJF-UHFFFAOYSA-N,0,10,1,30.65,5,0,1,1,0,3,0,1,6.06,0,1,1,6.06,2,0,15,6.88,2,1,19.26,0,0,1,1,163.99,0,1.67,5,5,28.97,17.26,25.56,0,0,89.55,62.03,144.73,0,5,1,0,4.07,20,7.48,1,0,0,0,4.07,0,2.91,62.81,101.96,0,3.18,2,0
JERSPYRKVMAEJY-UHFFFAOYSA-N,4,22,0,55.11,0,0,0,2,0,5,0,0,10.09,0,2,0,10.09,2,0,52,13.6,4,0,64.81,0,0,0,0,308.89,0,2.68,0,0,32.08,24.96,44.72,0,0,232.97,251.42,244.08,0,7,0,0,5.66,108,12.87,0,0,0,3,5.66,7,3.28,126.21,57.48,1,5.19,2,0
JMXLWMIFDJCGBV-UHFFFAOYSA-N,0,10,0,26.11,0,0,0,1,0,2,0,0,6.54,0,1,1,6.54,1,0,4,6.09,2,0,69.52,0,0,0,0,228.53,0,1.63,0,0,16.61,16.67,22.94,0,0,116.23,197.63,159.01,0,3,0,0,5.05,5,5.88,0,0,0,0,5.05,3,2.61,60.05,30.9,0,3.3,1,0
KFQARYBEAKAXIC-UHFFFAOYSA-N,5,15,0,40.99,6,0,0,1,6,6,0,1,8.0,0,1,0,8.0,1,0,42,10.73,3,0,69.84,0,0,0,0,249.23,1,1.82,6,6,27.64,20.14,38.57,1,0,155.97,197.52,179.39,0,1,0,1,3.87,71,11.79,0,0,0,0,3.87,1,3.4,96.22,51.71,0,4.01,1,0
KOAGKPNEVYEZDU-UHFFFAOYSA-N,13,18,0,46.96,6,0,0,1,6,7,0,1,9.5,0,1,0,9.5,1,0,152,13.18,3,0,112.15,0,0,0,0,302.03,1,2.18,6,6,27.64,23.91,46.91,1,0,206.0,146.27,189.88,0,5,0,1,5.02,340,12.94,0,0,0,1,5.02,5,3.48,128.06,155.76,0,4.78,1,0
LCTUISCIGMWMAT-UHFFFAOYSA-N,9,18,0,46.04,6,0,0,1,6,7,0,1,9.78,0,1,0,9.78,1,0,90,12.74,3,0,93.91,0,0,0,0,279.65,1,1.94,6,6,27.64,24.13,43.98,1,0,193.91,201.33,185.74,0,3,0,1,5.21,187,13.28,0,0,0,1,5.21,3,3.37,118.01,78.32,0,4.92,1,0
LLWRXQXPJMPHLR-UHFFFAOYSA-N,0,7,0,21.21,0,0,0,1,0,1,0,0,4.81,0,1,0,4.81,1,0,1,4.23,3,0,54.52,0,0,0,0,191.44,0,1.0,0,0,27.64,13.88,17.05,0,0,81.16,129.54,136.92,0,2,0,0,5.08,1,4.04,0,0,0,0,5.08,2,2.33,42.58,61.9,0,2.67,1,0
NLJDBTZLVTWXRG-UHFFFAOYSA-N,0,16,0,35.02,0,0,0,1,0,4,0,0,5.77,0,1,0,5.77,1,0,16,9.73,3,0,66.66,0,0,0,0,241.69,0,3.02,0,0,27.64,25.82,29.4,0,0,177.46,207.3,175.03,0,5,0,0,5.96,22,9.57,0,0,0,0,5.96,5,3.36,93.72,34.38,0,3.38,1,0
NOHLSFNWSBZSBW-UHFFFAOYSA-N,10,21,0,50.8,6,0,0,1,6,8,0,1,10.8,0,1,0,10.8,1,0,127,14.8,3,0,104.23,0,0,0,0,311.27,1,2.13,6,6,27.64,25.38,48.87,1,0,224.66,230.35,207.04,0,4,0,1,5.08,296,15.04,0,0,0,2,5.08,4,3.37,135.05,80.92,0,5.49,1,0
NXRUEVJQMBGVAT-UHFFFAOYSA-N,8,28,0,64.61,0,0,0,2,0,7,0,0,10.69,0,2,0,10.69,2,0,104,17.53,4,0,73.58,0,0,0,0,359.43,0,3.09,0,0,32.08,34.16,55.8,0,0,294.02,304.69,285.85,0,9,0,0,6.0,242,16.56,0,0,0,5,6.0,9,4.32,160.34,54.74,1,5.42,2,0
PBGZCCFVBVEIAS-UHFFFAOYSA-N,4,22,0,44.44,0,0,0,1,0,6,0,0,8.46,0,1,1,8.46,1,0,48,13.62,2,0,71.4,0,0,0,0,302.2,0,2.95,0,0,16.61,28.74,41.21,0,0,236.93,288.54,230.8,0,7,0,0,6.12,91,13.27,0,0,0,2,6.12,7,3.37,128.14,13.65,0,4.49,1,0
PPCHYMCMRUGLHR-UHFFFAOYSA-N,7,18,0,45.82,6,0,0,1,6,7,0,1,9.2,0,1,0,9.2,1,0,64,12.63,3,0,76.01,0,0,0,0,272.92,1,2.13,6,6,27.64,24.65,42.12,1,0,186.95,227.04,196.91,0,2,0,1,5.0,122,13.66,0,0,0,1,5.0,2,3.52,113.17,45.88,0,4.68,1,0
PXWSKGXEHZHFJA-UHFFFAOYSA-N,10,40,0,71.89,0,0,0,1,0,12,0,0,19.06,0,1,0,19.06,1,0,364,26.67,3,0,125.78,0,0,0,0,524.51,0,2.76,0,0,27.64,32.95,80.65,0,0,417.97,481.73,398.73,0,13,0,0,7.19,1365,24.35,0,0,0,10,7.19,13,4.07,229.29,42.78,0,9.65,1,0
QHJPGANWSLEMTI-UHFFFAOYSA-N,0,7,0,33.86,0,0,0,1,0,1,0,0,5.69,0,2,0,5.69,2,0,4,4.78,4,1,29.36,0,0,1,1,176.28,0,1.63,0,0,51.49,13.66,19.81,0,0,78.34,33.15,146.92,0,3,0,0,3.88,5,4.77,0,0,0,0,3.88,3,2.41,47.38,143.13,1,3.09,2,0
QRFXELVDJSDWHX-UHFFFAOYSA-N,9,19,0,47.45,6,0,0,1,6,7,0,1,10.11,0,1,0,10.11,1,0,90,13.7,3,1,68.26,0,0,2,1,312.97,1,1.94,6,6,36.87,24.08,45.96,1,0,204.29,242.32,244.72,0,3,0,1,5.59,187,14.28,0,0,0,1,5.59,3,3.45,122.32,70.65,0,5.09,1,0
RYYSZNVPBLKLRS-UHFFFAOYSA-N,7,18,0,55.92,6,0,0,2,6,6,0,1,8.86,0,2,0,8.86,2,0,62,12.61,6,0,0.0,0,0,0,0,256.81,1,2.19,6,6,55.28,22.02,42.74,1,0,176.15,153.29,256.81,0,2,0,1,4.31,115,13.2,0,0,0,0,4.31,2,3.5,110.43,103.52,0,4.46,2,0
SQXJHWOXNLTOOO-UHFFFAOYSA-N,15,21,0,51.8,6,0,0,1,6,8,0,1,10.59,0,1,0,10.59,1,0,201,15.12,3,0,149.19,0,0,0,0,326.91,1,2.36,6,6,27.64,27.16,50.8,1,0,236.68,177.53,177.72,0,6,0,1,5.23,496,14.75,0,0,0,2,5.23,6,3.52,145.09,149.38,0,5.39,1,0
UMDDLGMCNFAZDX-UHFFFAOYSA-O,2,16,0,45.32,0,0,0,2,0,3,0,0,8.91,0,2,0,8.91,2,0,20,9.74,6,0,43.22,0,0,0,0,240.84,0,2.19,0,0,55.28,19.68,33.72,0,0,162.05,142.53,197.61,0,5,0,0,5.16,35,9.18,0,0,0,2,5.16,5,2.89,90.86,98.31,0,4.51,2,0
UPHCENSIMPJEIS-UHFFFAOYSA-N,8,21,0,50.58,6,0,0,1,6,8,0,1,10.13,0,1,0,10.13,1,0,94,14.69,3,0,86.4,0,0,0,0,304.55,1,1.85,6,6,27.64,24.96,46.76,1,0,217.67,256.14,218.15,0,3,0,1,5.96,203,15.43,0,0,0,2,5.96,3,3.37,130.2,48.41,0,5.03,1,0
UUDRLGYROXTISK-UHFFFAOYSA-N,0,9,0,26.66,0,0,0,0,0,1,0,0,6.29,1,3,3,6.29,3,0,9,5.94,6,2,64.46,0,0,2,2,185.35,0,2.32,0,0,77.63,15.91,25.66,0,0,95.68,69.53,120.89,0,4,0,0,3.59,12,5.89,0,0,0,0,3.59,4,3.01,57.06,115.82,0,3.14,3,0
UVLZLKCGKYLKOR-UHFFFAOYSA-N,5,24,0,57.79,5,0,1,2,0,6,0,1,10.25,0,2,0,10.25,2,0,67,14.6,4,0,22.98,0,0,0,0,281.41,0,2.06,5,5,32.08,25.85,44.29,0,0,235.46,226.65,258.43,0,8,1,0,6.39,135,13.98,0,0,0,2,6.39,3,3.23,131.49,54.76,1,5.03,2,0
UXYJHTKQEFCXBJ-UHFFFAOYSA-N,6,28,0,53.17,0,0,0,1,0,8,0,0,9.14,0,1,0,9.14,1,0,88,17.19,3,0,65.18,0,0,0,0,304.39,0,3.75,0,0,27.64,31.48,45.62,0,0,301.19,283.03,239.21,0,9,0,0,6.06,173,16.96,0,0,0,2,6.06,9,3.39,162.42,21.36,0,4.64,1,0
UZHWWTHDRVLCJU-UHFFFAOYSA-N,3,19,0,39.63,0,0,0,1,0,5,0,0,9.19,0,1,0,9.19,1,0,32,11.82,3,0,67.59,0,0,0,0,282.67,0,2.63,0,0,27.64,22.8,39.83,0,0,203.2,234.42,215.08,0,6,0,0,5.3,58,11.42,0,0,0,2,5.3,6,3.18,110.65,48.24,0,4.6,1,0
VAWHFUNJDMQUSB-UHFFFAOYSA-N,3,16,0,35.18,6,0,1,1,0,4,0,1,6.7,0,1,1,6.7,1,0,27,9.77,2,1,15.05,0,0,2,1,230.48,0,2.0,6,6,25.84,23.07,32.54,0,0,163.83,191.84,215.42,0,6,1,0,5.52,42,9.53,0,0,0,0,5.52,0,3.25,92.04,38.63,0,3.64,1,0
VMLAEGAAHIIWJX-UHFFFAOYSA-N,0,13,0,30.38,0,0,0,1,0,3,0,0,6.58,0,1,0,6.58,1,0,9,7.93,3,0,59.48,0,0,0,0,227.06,0,2.32,0,0,27.64,21.99,28.47,0,0,141.67,184.98,167.58,0,4,0,0,5.24,12,7.73,0,0,0,0,5.24,4,3.16,76.57,42.08,0,3.36,1,0
VNAAUNTYIONOHR-UHFFFAOYSA-N,4,22,0,44.29,0,0,0,1,0,6,0,0,11.69,0,1,0,11.69,1,0,56,14.07,3,0,81.96,0,0,0,0,328.43,0,2.45,0,0,27.64,20.7,45.87,0,0,234.33,285.95,246.47,0,7,0,0,5.92,126,13.27,0,0,0,4,5.92,7,2.89,127.43,42.47,0,5.85,1,0
WGYRINYTHSORGH-UHFFFAOYSA-N,5,21,0,42.23,6,0,0,1,0,6,0,1,8.0,0,1,0,8.0,1,0,42,12.75,3,0,49.54,0,0,0,0,239.79,0,1.82,6,6,27.64,27.42,40.27,1,1,203.38,200.12,190.26,0,7,1,0,5.26,71,12.53,0,0,0,0,5.26,1,3.7,116.33,39.68,0,4.16,1,0
XFYICZOIWSBQSK-UHFFFAOYSA-N,0,10,0,25.96,0,0,0,1,0,2,0,0,6.59,0,1,0,6.59,1,0,4,6.09,3,0,61.53,0,0,0,0,215.57,0,1.63,0,0,27.64,17.09,22.85,0,0,112.02,164.65,154.04,0,3,0,0,5.17,5,5.88,0,0,0,0,5.17,3,2.59,59.49,50.92,0,3.3,1,0
XZUCBFLUEBDNSJ-UHFFFAOYSA-N,3,19,0,49.96,0,0,0,2,0,4,0,0,10.3,0,2,0,10.3,2,0,35,11.75,6,0,42.55,0,0,0,0,272.87,0,2.34,0,0,55.28,19.69,39.38,0,0,192.61,175.02,230.32,0,6,0,0,5.32,70,11.03,0,0,0,3,5.32,6,2.86,107.81,97.85,0,5.15,2,0
YYMLRIWBISZOMT-UHFFFAOYSA-N,2,16,0,35.61,0,0,0,1,0,4,0,0,9.15,0,1,1,9.15,1,0,20,10.0,2,0,80.53,0,0,0,0,287.17,0,2.19,0,0,16.61,19.22,34.28,0,0,177.5,267.53,206.64,0,5,0,0,5.73,35,9.57,0,0,0,2,5.73,5,2.8,93.95,19.64,0,4.54,1,0
ZEVRFFCPALTVDN-UHFFFAOYSA-N,7,24,0,46.96,6,0,0,1,0,7,0,1,9.33,0,1,0,9.33,1,0,64,14.74,3,0,52.34,0,0,0,0,265.92,0,2.13,6,6,27.64,28.32,45.68,1,1,233.86,224.73,213.57,0,8,1,0,5.66,122,14.37,0,0,0,1,5.66,2,3.7,133.35,41.18,0,4.78,1,0
